shelter_id,name,risk_level,capacity
1,五峰活動中心,安全,110
2,金門縣烈嶼鄉林湖村辦公處,安全,30
3,南坑村集會所暨南外社區活動中心,高風險,20
4,烏坵鄉小坵村活動中心,安全,20
5,金門縣烏坵鄉公所大廳,安全,30
6,霞雲社區活動中心,低風險,36
7,澤仁里辦公處,高風險,40
8,奎輝里活動中心,高風險,50
9,高義教會,低風險,61
10,東莒老人活動中心,安全,0
12,莒光指揮部國軍文康中心,安全,0
14,青帆老人活動中心,安全,150
15,敬恆國中小禮堂,安全,200
16,東莒國小綜合教室,安全,200
18,上大社區活動中心,中風險,0
19,武威社區活動中心,高風險,0
20,塔腳社區活動中心,高風險,0
21,廣福社區活動中心,高風險,0
22,草漯國民小學,高風險,100
23,上大國民小學,高風險,100
24,崙坪國民小學,中風險,100
25,富林國民小學,高風險,100
26,樹林國民小學,高風險,100
27,觀音區公所綠資源中心,高風險,0
29,高雄市前鎮區光華國民小學,低風險,300
30,大武國小,高風險,350
31,尖山國小操場,中風險,200
32,高雄市小港區鳳林國民小學,低風險,300
45,大武社區活動中心,高風險,30
46,和平國小,中風險,250
47,佳義社區活動中心,高風險,0
48,中東社區活動中心,高風險,30
49,崇實高工體育館,安全,80
50,東芳國小,低風險,145
51,三義社區活動中心,安全,200
52,大同國中,低風險,200
53,員林農工體育館,低風險,200
54,員林市員東國小,低風險,200
55,員林市員林國中活動中心,安全,200
56,員林市員林國小,安全,300
57,健康公園,中風險,7500
58,屏東市信義國小,中風險,965
59,光隆營區,中風險,80
60,大快官藝文館,高風險,45
61,彰德國中勤學樓、育英樓穿堂,高風險,45
62,介壽社區活動中心,高風險,45
63,國聖國小,中風險,54
64,石牌國小,高風險,63
65,茄苳社區活動中心,中風險,64
66,三民國小,中風險,77
67,南北管戲曲音樂館,低風險,77
68,牛埔社區活動中心,高風險,78
69,桃源社區活動中心,高風險,90
70,南興社區活動中心,高風險,93
71,快官社區活動中心,高風險,115
72,福山社區活動中心,中風險,177
73,延和社區活動中心,中風險,184
74,泰和國小,低風險,203
75,彰興國中,中風險,242
76,信義國中小,低風險,399
77,雅溝社區活動中心,低風險,150
80,港口社區活動中心,高風險,50
81,恆春國中收容所,高風險,1400
82,恆春鎮公所,高風險,220
83,永靖社區活動中心,高風險,30
84,永港國民小學,高風險,100
85,恒春國小收容所,高風險,200
86,僑勇國小收容所,中風險,430
87,滿州國民小學,高風險,100
88,屏東縣滿州鄉公所,高風險,30
90,滿州社區活動中心,高風險,30
91,屏東縣滿州鄉圖書館,高風險,100
92,滿州國民中學,高風險,100
93,蘭恩活動中心,低風險,500
95,響林活動中心,高風險,50
96,椰油國民小學,高風險,100
97,蘭嶼完全高級中學,高風險,500
98,屏東縣立車城國小保力分校,高風險,63
99,屏東縣立車城國小射寮分校,高風險,63
100,屏東縣立車城國中,高風險,350
101,高士國小牡林分校,中風險,304
102,長樂村長壽俱樂部,高風險,50
103,屏東縣立車城國小,高風險,250
104,長樂國小,高風險,120
105,車城福安宮香客大樓,中風險,100
106,朗島國小,安全,100
107,屏東縣立車城國小溫泉分校,高風險,63
108,九棚永久屋大愛基地活動中心,高風險,100
109,高士國小,高風險,350
110,石門村活動中心,高風險,100
111,港仔活動中心,高風險,50
112,竹坑活動中心,高風險,40
113,牡丹國小,高風險,350
114,楓港國民小學,中風險,90
115,旭海村活動中心,高風險,250
116,楓港老人文康中心,高風險,80
117,楓林國小,高風險,50
118,丹路國小,高風險,50
119,獅子鄉立綜合體育館,高風險,100
120,東源村活動中心,低風險,250
121,內文活動中心,中風險,40
122,獅子活動中心,高風險,0
123,草埔活動中心,高風險,40
124,枋山鄉公所,中風險,50
125,枋寮高中正成分校,高風險,150
126,南田基督教會,高風險,50
127,森永活動中心,高風險,100
128,南田活動中心,高風險,100
129,安朔基督教會,高風險,50
130,安朔集會所,高風險,50
131,安朔國小,高風險,200
132,達仁鄉公所禮堂,高風險,100
134,內獅國小,高風險,0
135,南興村社區活動中心,高風險,200
136,南福社區活動中心,安全,50
137,加祿國民小學,高風險,60
138,大福社區活動中心,安全,100
139,琉球國中,安全,200
140,琉球國小,安全,200
141,尚武村社區活動中心,高風險,100
142,大武鄉立托兒所,高風險,100
143,全德國小,安全,200
144,琉球鄉公所,安全,150
145,老人文康活動中心,中風險,150
146,大武老人會館,高風險,150
147,大武鄉多功能綜合活動中心暨避難收容所,高風險,300
148,古華社區活動中心,中風險,100
149,大武村社區活動中心,高風險,100
150,古華國民小學,低風險,200
151,僑德國小,高風險,320
152,枋寮國小,高風險,189
153,士文聚會所,低風險,50
154,古華國民小學-士文分校,低風險,60
155,春日社區活動中心,高風險,50
156,春日國民小學,高風險,200
157,枋寮高中,高風險,1136
158,臺東縣立安朔國小新化分校,中風險,200
159,建興國小,中風險,162
162,東海國小,安全,524
164,東海國小太源分校,安全,90
165,國立佳冬高農,安全,239
167,加津林活動中心,高風險,200
168,佳冬鄉立幼兒園,安全,200
169,力里國民小學,高風險,200
170,春日鄉立老人文康中心,高風險,120
171,佳冬國中,安全,300
172,屏東縣林邊鄉崎峰活動中心,中風險,200
173,來義鄉文物館,高風險,100
174,南和國小,高風險,200
175,屏東縣林邊鄉仁和國民小學,低風險,200
176,土?天主堂,高風險,50
177,臺東縣立土?國小,高風險,200
178,達仁鄉立土?托兒所,高風險,160
179,大潭國小,高風險,150
180,愛國蒲分校,高風險,100
181,以栗國小,高風險,300
182,東隆宮香客大樓,高風險,300
183,太麻里鄉多良村辦公處,高風險,80
184,東隆國小,高風險,500
185,望嘉警察派出所,高風險,100
186,屏東縣林邊鄉竹林國民小學,中風險,100
187,東港高中,高風險,450
188,東光國小,高風險,150
189,東港國小,高風險,300
190,新埤鄉立幼兒園,中風險,250
191,臺東縣台?國民小學,低風險,200
192,台?活動中心,低風險,100
193,東興國小,高風險,461
194,北市大附小,低風險,157
195,台?基督教會,低風險,50
196,啦里吧活動中心,低風險,100
197,新埤國小,低風險,450
198,高雄市立中芸國民中學,高風險,700
199,中芸國小,高風險,500
200,烏龍國小,高風險,100
201,鹽洲國小,高風險,50
202,溪北社區活動中心,高風險,50
203,溪北國小,高風險,95
204,文樂活動中心,中風險,50
205,高雄市林園區港埔國民小學,高風險,690
206,高雄市林園區王公國民小學,中風險,1100
207,高雄市林園區林園國民小學,低風險,2000
208,林園區長青文康活動中心,低風險,260
209,港西國小,中風險,30
210,來義鄉新來義部落多功能活動中心,低風險,500
211,潮南國小,高風險,1126
212,南榮國中,低風險,200
213,崁頂國小,低風險,200
214,高雄市小港區鳳鳴國民小學,安全,200
215,崁頂老人文康中心,安全,150
216,高雄市立林園高級中學,低風險,2600
217,丹林活動中心,中風險,50
218,高雄市小港區鳳林國民中學,低風險,50
219,潮東國小,低風險,85
220,新園國小,安全,100
221,歷坵活動中心 Liqiu Activity Center,高風險,100
222,古樓國小,中風險,200
223,高雄市林園區金潭國民小學,中風險,260
224,金崙溫泉長老教會,高風險,20
225,賓茂國小 Binmao Elementary School,高風險,100
226,賓茂活動中心 Binmao Activity Center,高風險,100
227,金崙活動中心,高風險,80
228,光春國中,低風險,600
229,力社國小,高風險,200
230,義仁里社區活動中心,低風險,100
231,光春國小,中風險,550
232,高雄市大寮區昭明國小,低風險,350
233,新園鄉公所,低風險,30
234,仙吉國小,低風險,100
235,四林國小,低風險,50
236,新園國中,低風險,300
237,光華國小,高風險,240
238,鎮立幼兒園,高風險,300
239,潮州國小,高風險,285
240,佳佐國小中興分校,低風險,60
241,瓦?國小,低風險,50
242,平和活動中心,高風險,200
243,潮州國中,中風險,250
244,會結里社區活動中心,中風險,100
246,潮和國小,中風險,630
247,潮昇國小,中風險,875
248,新厝里社區活動中心,安全,20
249,高雄市小港區小港國民小學,中風險,300
250,志成佛寺,中風險,200
251,高雄市小港區鳳陽國民小學,安全,600
252,潮寮老人活動中心,中風險,35
253,新庄國小,中風險,60
254,高雄市立潮寮國民中學,低風險,60
255,高雄市小港區二苓國民小學,低風險,1000
256,高雄市立小港高級中學,安全,100
257,高雄市大寮區潮寮國小,低風險,240
258,國立高雄餐旅大學附屬餐旅高級中等學校,低風險,200
259,高雄市小港區漢民國民小學,安全,200
260,高雄市立中山國民中學,安全,700
261,高雄市立小港國民中學,低風險,720
262,高雄市小港區華山國民小學,安全,901
263,高雄市小港區港和國民小學,低風險,250
264,佳興活動中心,中風險,100
265,佳佐國小,高風險,100
266,萬巒鄉公所展覽廳,中風險,100
267,高雄市前鎮區佛公國民小學,高風險,655
268,萬巒國小,中風險,100
269,大明國小,高風險,200
270,過溪里社區活動中心,安全,150
271,武潭活動中心,高風險,200
272,西方道堂,高風險,300
273,高雄市前鎮區明正國民小學,高風險,345
274,高雄市立明義國民中學,低風險,1000
275,清山寺,中風險,80
276,萬丹國小,低風險,150
277,竹田國小,中風險,200
278,高雄市小港區桂林國民小學,高風險,1255
279,高雄市立前鎮國民中學,高風險,1200
280,高雄市小港區明義國民小學,低風險,200
281,竹田鄉公所,低風險,60
282,富翔天廈,中風險,70
283,高雄市前鎮區前鎮國民小學,高風險,473
284,高雄市立興仁國民中學,高風險,945
285,高雄市立前鎮高級中學,高風險,2236
286,香蘭國小,高風險,80
287,高雄市旗津區大汕國民小學,高風險,250
288,高雄市立旗津國民中學,高風險,600
289,萬巒鄉立幼兒園泗溝分班,高風險,60
290,圖書館,安全,40
291,萬丹鄉行政中心,安全,100
292,高雄市旗津區公所5樓大禮堂,高風險,250
293,佛聖宮,中風險,200
294,高雄市鳳山區過埤國民小學,中風險,393
295,高雄市立福誠高級中學,高風險,1139
296,高雄市前鎮區鎮昌國民小學,高風險,1200
297,五溝國小,高風險,30
298,高雄市大寮區大寮國民小學,低風險,420
299,佳平活動中心,高風險,100
300,大寮里社區活動中心,低風險,150
301,泰武國中,高風險,300
302,澳洲特區,高風險,100
303,荷蘭町,中風險,200
304,興華國小,中風險,400
305,高雄市政府社會局無障礙之家,高風險,3
306,高雄市鳳山區南成國民小學,高風險,1484
307,龍成宮,中風險,100
308,米蘭特區,中風險,80
309,四維國小,低風險,50
310,僑智國小,低風險,120
311,萬金天主教堂,中風險,250
312,嘉蘭國小 Jialan Elementary School,高風險,100
313,高雄市鳳山區鳳翔國民小學,中風險,3106
314,高雄市立鳳翔國民中學,中風險,385
315,萬丹國中,低風險,500
316,嘉蘭村活動中心 Jialan Activity Center,高風險,100
317,高雄市鳳山區福誠國民小學,中風險,1267
318,高雄市立五甲國民中學,低風險,1178
319,高雄市鳳山區中崙國民小學,高風險,3054
320,大發公有市場3樓,低風險,120
321,高雄市前鎮區瑞祥國民小學,低風險,1636
322,高雄市旗津區中洲國民小學,高風險,600
323,高雄市立瑞祥高級中學,中風險,1000
324,高雄市立大寮幼兒園,低風險,150
325,高雄市立大寮國民中學,低風險,150
326,高雄市立中崙國民中學,高風險,469
327,三隆里社區活動中心,低風險,40
328,高雄市鳳山區正義國民小學,低風險,1025
329,正興村活動中心Zhengxing Activity Center,中風險,100
330,泰武活動中心,低風險,300
331,高雄市立獅甲國民中學,高風險,1200
332,竹田鄉立幼兒園,安全,200
333,高雄市大寮區永芳國民小學,低風險,600
334,高雄市前鎮區瑞豐國民小學,低風險,1781
335,金湯營區,高風險,400
336,中正營區,高風險,500
337,高雄市大寮區山頂國民小學,中風險,200
338,高雄市前鎮區復興國民小學,中風險,800
339,高雄市前鎮區樂群國民小學,中風險,300
340,山頂里社區活動中心,中風險,250
341,高雄市前鎮區民權國民小學,高風險,1568
342,高雄市旗津區旗津國民小學,高風險,120
343,高雄市竹西里活動中心,中風險,100
344,內埔國小,低風險,120
345,高雄市立中正高級工業職業學校,中風險,1000
346,高雄市立光華國民中學,中風險,600
347,內埔鄉文康中心,中風險,120
348,高雄市立瑞豐國民中學,低風險,200
349,內埔國中,中風險,120
350,大王國小,低風險,100
351,高雄市鳳山區新甲國民小學,低風險,2199
352,高雄市苓雅區成功國民小學,高風險,920
353,高雄市前鎮區愛群國民小學,中風險,1000
354,武侯宮,安全,200
355,光武里社區活動中心,高風險,20
356,高雄市苓洲國民小學,中風險,855
357,順安府,低風險,50
358,太麻里鄉老人會館,低風險,100
359,社皮國小,低風險,100
360,高雄市立英明國民中學,低風險,1382
361,東寧國小,低風險,120
362,老人文康活動中心,低風險,150
363,老人文康活動中心,低風險,150
364,廣安國小,低風險,30
365,竹田國中,安全,600
366,黃厝北極上帝殿,安全,200
367,富田國小,安全,120
368,高雄市大寮區忠義國民小學,高風險,200
369,高雄市立鳳甲國民中學,低風險,1917
370,高雄市鳳山區誠正國民小學,高風險,641
371,高雄市鳳山區鳳西國民小學,高風險,1711
372,高雄市鳳山區忠孝國民小學,中風險,1898
373,高雄市立苓雅國民中學,低風險,945
374,忠義里里辦公處2樓,中風險,20
375,中興里社區活動中心,中風險,25
376,高雄市苓雅區福康國民小學,安全,1764
377,黃埔營區,高風險,600
378,高雄市立忠孝國民中學,低風險,1800
