shelter_id,name,terrain_risk,mean_elevation,max_slope,river_distance_category
1,和平國小,High,27.50235114,45.47325489,500-1000m
2,豐南社區活動中心,Extreme,299.4591485,41.04637098,<500m
3,玉寶宮,High,240.6309077,29.89189254,<500m
4,永豐社區活動中心,Extreme,257.4568152,32.28624887,<500m
5,富里老人文康中心,Extreme,238.3243466,30.52633428,<500m
6,石平社區活動中心,Extreme,265.3581086,49.29889359,<500m
7,富里鄉公所2樓,High,246.1789144,32.61647936,500-1000m
8,石牌社區活動中心,High,217.7405811,27.66691142,<500m
9,明里社區活動中心,High,222.7622848,45.12797776,500-1000m
10,羅山縱管處,Extreme,222.5730428,30.42821719,<500m
11,古風國小,Extreme,211.2411861,43.36571143,<500m
12,崙天社區活動中心,Extreme,211.3630133,46.4519351,<500m
13,新興竹田聯合社區活動中心,Low,238.5252257,26.09620052,500-1000m
14,萬寧社區活動中心,Low,185.0141271,20.54016932,500-1000m
15,東里社區活動中心,Low,163.9225789,20.5614995,500-1000m
16,長良社區活動中心,Extreme,168.9406017,41.99833428,<500m
17,清水社區活動中心,Extreme,253.1339459,53.45540706,<500m
18,吳江社區活動中心,Extreme,168.5402247,44.65826715,<500m
19,卓樂社區活動中心,Extreme,231.1481612,57.18361602,<500m
20,樂合社區活動中心,Extreme,188.4701478,62.64292579,<500m
21,源城社區活動中心,Extreme,175.617875,42.56365782,<500m
22,玉里慈惠堂,Low,134.1840439,7.027658871,500-1000m
23,中正堂,Low,131.783641,8.88710006,>=1000m
24,東豐社區活動中心,Extreme,138.4485298,31.45941933,<500m
25,卓溪多功能活動中心,Extreme,190.6561206,46.31100499,<500m
26,大禹社區活動中心,High,103.7406834,34.26356272,>=1000m
27,觀音社區活動中心,Extreme,109.4226736,52.92786091,<500m
28,太平國小,Extreme,170.1821356,49.49266252,<500m
29,太平社區活動中心,Extreme,129.6703318,50.25276148,<500m
30,松浦社區活動中心,Extreme,96.41305025,44.36047716,<500m
31,三民社區活動中心,Extreme,97.0742092,44.00849215,<500m
32,古楓社區活動中心,Extreme,208.2503106,47.45366267,<500m
33,立山社區活動中心,Extreme,208.2503106,47.45366267,<500m
34,崙山國小,High,162.8470894,45.81163215,>=1000m
35,崙山社區活動中心,High,168.5000355,45.81163215,>=1000m
